---------------------------------------------------------------------------------------------
Output for  sample-f.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2978954)
('total number of distinct words=', 45509)
('popular_threshold_word=', 2276.0)
('common_threshold_l_word=', 21616.0)
('common_threshold_u_word=', 23893.0)
('rare_threshold_word=', 43233.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|Word          |Frequency|
|245 |end           |1286     |
|246 |world         |1279     |
|247 |says          |1277     |
|248 |soon          |1272     |
|249 |half          |1262     |
|250 |why           |1262     |
|251 |each          |1258     |
|252 |jo            |1254     |
|253 |water         |1245     |
|254 |door          |1244     |
|255 |love          |1238     |
|256 |works         |1228     |
|257 |country       |1225     |
|258 |hear          |1225     |
|259 |themselves    |1225     |
|260 |seen          |1223     |
|261 |seemed        |1222     |
|262 |hundred       |1220     |
|263 |bed           |1218     |
|264 |o             |1218     |
|265 |having        |1216     |
|266 |money         |1216     |
|267 |use           |1208     |
|268 |mrs           |1204     |
|269 |stood         |1188     |
|270 |keep          |1160     |
|271 |mind          |1158     |
|272 |few           |1156     |
|273 |sons          |1152     |
|274 |better        |1141     |
|275 |myself        |1123     |
|276 |oh            |1123     |
|277 |far           |1120     |
|278 |fire          |1118     |
|279 |war           |1111     |
|280 |others        |1110     |
|281 |turned        |1110     |
|282 |until         |1110     |
|283 |taken         |1109     |
|284 |whole         |1109     |
|285 |felt          |1103     |
|286 |round         |1099     |
|287 |voice         |1091     |
|288 |david         |1089     |
|289 |five          |1087     |
|290 |hast          |1079     |
|291 |moses         |1074     |
|292 |cannot        |1072     |
|293 |pass          |1059     |
|294 |spirit        |1058     |
|295 |want          |1056     |
|296 |four          |1054     |
|297 |something     |1054     |
|298 |death         |1052     |
|299 |bring         |1050     |
|300 |according     |1045     |
|301 |high          |1044     |
|302 |mine          |1044     |
|303 |nature        |1043     |
|304 |used          |1043     |
|305 |thereof       |1038     |
|306 |common        |1037     |
|307 |body          |1028     |
|308 |year          |1028     |
|309 |enough        |1026     |
|310 |find          |1023     |
|311 |tom           |999      |
|312 |girl          |996      |
|313 |state         |989      |
|314 |poor          |988      |
|315 |whose         |988      |
|316 |women         |987      |
|317 |lay           |986      |
|318 |next          |974      |
|319 |thousand      |973      |
|320 |speak         |962      |
|321 |looking       |961      |
|322 |thine         |961      |
|323 |small         |958      |
|324 |times         |958      |
|325 |cunt          |955      |
|326 |quite         |944      |
|327 |almost        |938      |
|328 |morning       |937      |
|329 |light         |936      |
|330 |herself       |934      |
|331 |general       |925      |
|332 |anything      |924      |
|333 |sat           |922      |
|334 |answered      |921      |
|335 |wife          |920      |
|336 |gone          |918      |
|337 |often         |905      |
|338 |rest          |905      |
|339 |eat           |902      |
|340 |manner        |900      |
|341 |near          |900      |
|342 |peter         |891      |
|343 |course        |889      |
|344 |person        |881      |
|345 |help          |878      |
|346 |jesus         |878      |
|347 |known         |861      |
|348 |sea           |851      |
|349 |second        |844      |
|350 |twenty        |842      |
|351 |sight         |839      |
|352 |kept          |838      |
|353 |kind          |837      |
|354 |e             |836      |
|355 |jerusalem     |833      |
|356 |order         |826      |
|357 |dead          |825      |
|358 |read          |823      |
|359 |best          |821      |
|360 |judah         |820      |
|361 |reason        |819      |
|362 |president     |806      |
|363 |holy          |804      |
|364 |yes           |801      |
|365 |feet          |799      |
|366 |none          |799      |
|367 |since         |794      |
|368 |fear          |789      |
|369 |rather        |789      |
|370 |cause         |788      |
|371 |states        |787      |
|372 |fell          |784      |
|373 |certain       |782      |
|374 |mouth         |779      |
|375 |within        |779      |
|376 |captain       |773      |
|377 |whether       |770      |
|378 |john          |768      |
|379 |offering      |767      |
|380 |peace         |766      |
|381 |friend        |765      |
|382 |return        |760      |
|383 |white         |760      |
|384 |boy           |759      |
|385 |government    |759      |
|386 |child         |758      |
|387 |above         |757      |
|388 |soul          |757      |
|389 |dear          |756      |
|390 |electronic    |756      |
|391 |friends       |756      |
|392 |public        |756      |
|393 |feel          |753      |
|394 |received      |752      |
|395 |call          |748      |
|396 |matter        |745      |
|397 |open          |745      |
|398 |along         |739      |
|399 |does          |734      |
|400 |cried         |733      |
|401 |leave         |732      |
|402 |laid          |730      |
|403 |written       |730      |
|404 |alone         |727      |
|405 |turn          |724      |
|406 |either        |723      |
|407 |foundation    |723      |
|408 |free          |723      |
|409 |evil          |722      |
